,lCategory,mCategory,sCategory
ENOB(박솔),Music,록음악,밴드
FIIz7HBRWheH24pXWF3lxDMdmWi1,Music,EDM (Electronic Dance Music),서과기
dCbAjOGf5NdBQgLRLfhciY5b5oz1,Music,로큰롤,소속 후지정
fU4F8wmIgbbneDMgESCQT7ANGCj2,Music,레게,소속 나중입력
김경애,Sport,컬링,강릉시청
김기탁,Sport,야구,한화이글스
김명훈,Music,K-pop,울랄라세션
김민준,Sport,축구,김해시청축구단
김범수,Sport,야구,한화이글스
김영미,Sport,컬링,강릉시청
김은정,Sport,컬링,강릉시청
김재경,Music,K-pop,레인보우
김재철,Sport,축구,김해시청축구단
김지현,Music,발라드,코미디빅리그
김진아,Music,발라드,코미디빅리그
김진용,Sport,농구,상무농구단
김철민,Music,발라드,엘디스토리
김현기,Sport,스키,하이원스포츠단
박경호,Music,발라드,코미디빅리그
박성연,Music,트로트,아웃렛
박승일,Music,K-pop,울랄라세션
박지훈,Sport,농구,상무농구단
배천석,Sport,축구,김해시청축구단
변성환,Music,록 음악,밴드
소연,Music,K-pop,라붐
솔빈,Music,K-pop,라붐
신규진,Music,발라드,코미디빅리그
신록,Sport,역도,고양시청
안성훈,Music,트로트,아웃렛
안진,Sport,야구,한화이글스
안창호,Sport,야구,한화이글스
영기,Music,트로트,아웃렛
원정식,Sport,역도,울산광역시청
유정,Music,K-pop,라붐
육중완,Music,록 음악,밴드
윤성현,Music,록 음악,쏜애플
이미래,Sport,당구,브라보앤뉴
이상연,Sport,역도,강원도체육회
전석훈,Sport,축구,김해시청축구단
정한솔,Sport,역도,아산시청
지소연,Sport,축구,첼시FC 레이디스
지엔,Music,K-pop,라붐
최도원,Music,K-pop,울랄라세션
최성모,Sport,농구,상무농구단
최성원,Sport,당구,부산광역시체육회
한희원,Sport,농구,상무농구단
해인,Music,K-pop,라붐
